customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,Yes,No,17,Yes,Yes,No,No internet service,No,Yes,No internet service,Yes,No,One year,Yes,Bank transfer,106.09,1803.53,No
CUST00001,Female,1,No,No,58,No,No,No,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,43.76,2538.08,No
CUST00002,Male,1,Yes,Yes,58,No,No,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,42.3,2453.4,Yes
CUST00003,Male,0,No,Yes,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,58.78,3350.46,Yes
CUST00004,Male,1,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,37.26,260.82,No
CUST00005,Female,0,Yes,No,39,No,No,DSL,No internet service,No,No,Yes,Yes,No,One year,Yes,Electronic check,114.68,4472.52,No
CUST00006,Male,1,Yes,Yes,58,No,No phone service,No,No internet service,Yes,Yes,Yes,No,No internet service,Two year,No,Electronic check,44.35,2572.3,No
CUST00007,Male,0,Yes,No,56,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.33,1642.48,No
CUST00008,Male,1,No,No,15,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card,75.69,1135.35,No
CUST00009,Female,0,Yes,Yes,44,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer,73.76,3245.44,No
CUST00010,Male,0,No,No,12,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,83.19,998.28,No
CUST00011,Male,0,Yes,Yes,8,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,116.67,933.36,No
CUST00012,Male,1,Yes,No,41,No,Yes,DSL,No,No internet service,No,No,No internet service,No,Two year,Yes,Credit card,52.35,2146.35,No
CUST00013,Male,1,No,Yes,34,Yes,Yes,DSL,Yes,Yes,No,No internet service,No internet service,No,Two year,Yes,Bank transfer,55.96,1902.64,Yes
